AFF1	ENCFF360BTO.bed.gz	ENCFF813XDC.bigWig
ARHGAP35	ENCFF010MMQ.bed.gz	ENCFF694WYQ.bigWig
ARID1B	ENCFF225MPC.bed.gz	ENCFF750FNO.bigWig
ARID2	ENCFF332ICQ.bed.gz	ENCFF232MAF.bigWig
ARID3A	ENCFF835KAT.bed.gz	ENCFF107YJY.bigWig
ARNT	ENCFF507MGL.bed.gz	ENCFF186OCZ.bigWig
ASH1L	ENCFF235ZZP.bed.gz	ENCFF016YLI.bigWig
ATF1	ENCFF030HWZ.bed.gz	ENCFF145VGS.bigWig
ATF2	ENCFF968KBN.bed.gz	ENCFF454KQY.bigWig
ATF3	ENCFF958KNK.bed.gz	ENCFF783IOJ.bigWig
ATF4	ENCFF710IEF.bed.gz	ENCFF703NOB.bigWig
ATF7	ENCFF868QLL.bed.gz	ENCFF249KVC.bigWig
BACH1	ENCFF423EMU.bed.gz	ENCFF183XFF.bigWig
BCLAF1	ENCFF462CPT.bed.gz	ENCFF136RAF.bigWig
BCOR	ENCFF057ZUY.bed.gz	ENCFF243LGY.bigWig
BHLHE40	ENCFF179NDS.bed.gz	ENCFF765OJY.bigWig
BMI1	ENCFF048OIZ.bed.gz	ENCFF514QBY.bigWig
BRCA1	ENCFF549GMO.bed.gz	ENCFF279WBA.bigWig
BRD4	BRD4.hg19.peaks.bed.gz	BRD4.hg19.bigWig
BRD9	ENCFF666LZV.bed.gz	ENCFF036WGZ.bigWig
BRF1	ENCFF002CVR.bed.gz	ENCFF000YGO.bigWig
BRF2	ENCFF002CVS.bed.gz	ENCFF000YGX.bigWig
C11orf30	ENCFF996ZGL.bed.gz	ENCFF219HQE.bigWig
CBFA2T2	ENCFF642BNC.bed.gz	ENCFF398DKE.bigWig
CBFA2T3	ENCFF993GXU.bed.gz	ENCFF321EPM.bigWig
CBX1	ENCFF484DKT.bed.gz	ENCFF762MAM.bigWig
CBX3	ENCFF005BKP.bed.gz	ENCFF358INE.bigWig
CBX5	ENCFF062ARS.bed.gz	ENCFF014XHT.bigWig
CBX8	ENCFF456PQY.bed.gz	ENCFF206WVX.bigWig
CC2D1A	ENCFF874QUM.bed.gz	ENCFF856RTE.bigWig
CDC5L	ENCFF643TEZ.bed.gz	ENCFF739MHD.bigWig
CDK8	CDK8.hg19.peaks.bed.gz	CDK8.hg19.bigWig
CEBPB	ENCFF429XKT.bed.gz	ENCFF513ZML.bigWig
CEBPG	ENCFF272ULO.bed.gz	ENCFF540WMP.bigWig
CEBPZ	ENCFF925MHB.bed.gz	ENCFF324NIB.bigWig
CHAMP1	ENCFF602FRL.bed.gz	ENCFF775ZMD.bigWig
CHD2	CHD2.hg19.peaks.bed.gz	CHD2.hg19.bigWig
CREB3	ENCFF665FHC.bed.gz	ENCFF879MML.bigWig
CREB3L1	ENCFF582YPB.bed.gz	ENCFF274RCD.bigWig
CREBBP	ENCFF369HGX.bed.gz	ENCFF813TKO.bigWig
CREM	ENCFF948TXN.bed.gz	ENCFF026KYB.bigWig
CTBP1	ENCFF152VMJ.bed.gz	ENCFF112LWM.bigWig
CTCF	ENCFF002CEL.bed.gz	ENCFF000BWF.bigWig
CTCFL	ENCFF962FQM.bed.gz	ENCFF648ABV.bigWig
CUX1	ENCFF517YCC.bed.gz	ENCFF950NCQ.bigWig
DACH1	ENCFF526HLP.bed.gz	ENCFF620DCM.bigWig
DDX20	ENCFF338HQY.bed.gz	ENCFF038EVN.bigWig
DEAF1	ENCFF786WZD.bed.gz	ENCFF187GTP.bigWig
DNMT1	ENCFF034PQD.bed.gz	ENCFF820AVX.bigWig
DPF2	ENCFF823SYE.bed.gz	ENCFF950HQL.bigWig
E2F1	ENCFF998YJY.bed.gz	ENCFF009LGS.bigWig
E2F6	ENCFF917COW.bed.gz	ENCFF123OID.bigWig
E2F7	ENCFF310AGG.bed.gz	ENCFF103XPY.bigWig
E2F8	ENCFF925DJG.bed.gz	ENCFF092WDH.bigWig
E4F1	ENCFF083YCQ.bed.gz	ENCFF093MRW.bigWig
EGR1	ENCFF558JBX.bed.gz	ENCFF933FEZ.bigWig
EHMT2	ENCFF806BDC.bed.gz	ENCFF982RMW.bigWig
ELF1	ENCFF392MUM.bed.gz	ENCFF963YVX.bigWig
ELF4	ENCFF502KHR.bed.gz	ENCFF121DYK.bigWig
ELK1	ENCFF019PEL.bed.gz	ENCFF996CPV.bigWig
EP300	ENCFF549TYR.bed.gz	ENCFF152DJG.bigWig
EP400	ENCFF925ANU.bed.gz	ENCFF226XAW.bigWig
ESRRA	ENCFF213EPU.bed.gz	ENCFF827COK.bigWig
ETS1	ENCFF076YZO.bed.gz	ENCFF771GEW.bigWig
ETS2	ENCFF772HOY.bed.gz	ENCFF513JDH.bigWig
ETV1	ENCFF404YMX.bed.gz	ENCFF283MZY.bigWig
ETV6	ENCFF660VPM.bed.gz	ENCFF720YCI.bigWig
FOS	ENCFF002CVW.bed.gz	ENCFF000YIF.bigWig
FOSL1	ENCFF473GCH.bed.gz	ENCFF857ARL.bigWig
FOXA1	ENCFF809YFY.bed.gz	ENCFF147BRO.bigWig
FOXK2	ENCFF248VHN.bed.gz	ENCFF852WRN.bigWig
FUS	ENCFF142CPK.bed.gz	ENCFF380ABG.bigWig
GABPA	ENCFF833FCO.bed.gz	ENCFF869WSZ.bigWig
GABPB1	ENCFF517KRT.bed.gz	ENCFF389ZEM.bigWig
GATA1	ENCFF632NQI.bed.gz	ENCFF833CBY.bigWig
GATA2	ENCFF929YBC.bed.gz	ENCFF148KWA.bigWig
GATAD2A	ENCFF253FZN.bed.gz	ENCFF269YNO.bigWig
GATAD2B	ENCFF549KOD.bed.gz	ENCFF755NBK.bigWig
GMEB1	ENCFF126BCK.bed.gz	ENCFF306QAA.bigWig
GTF2A2	ENCFF167HYX.bed.gz	ENCFF741INH.bigWig
GTF2B	ENCFF002CWR.bed.gz	ENCFF000YNS.bigWig
GTF2F1	ENCFF530FZL.bed.gz	ENCFF441OOU.bigWig
GTF3C2	ENCFF002CYL.bed.gz	ENCFF000ZBW.bigWig
H3K27ac	ENCFF044JNJ.bed.gz	ENCFF010PHG.bigWig
H3K27me3	ENCFF126QYP.bed.gz	ENCFF312LYO.bigWig
H3K4me1	ENCFF730VTO.bed.gz	ENCFF444SGK.bigWig
H3K9ac	ENCFF085JHT.bed.gz	ENCFF866KTJ.bigWig
H3K9me3	ENCFF894VEM.bed.gz	ENCFF834YLI.bigWig
H4K20me1	ENCFF139CKE.bed.gz	ENCFF143CUR.bigWig
HCFC1	ENCFF474NLG.bed.gz	ENCFF633TLX.bigWig
HDAC1	ENCFF996CUX.bed.gz	ENCFF614WRB.bigWig
HDAC2	ENCFF562JDH.bed.gz	ENCFF697WDH.bigWig
HDAC3	ENCFF580DYE.bed.gz	ENCFF137LOO.bigWig
HDAC6	ENCFF998HOR.bed.gz	ENCFF177KCK.bigWig
HDAC8	ENCFF939ZFS.bed.gz	ENCFF156FQS.bigWig
HDGF	ENCFF849ZUF.bed.gz	ENCFF606AWH.bigWig
HES1	ENCFF676NPW.bed.gz	ENCFF071USV.bigWig
HINFP	ENCFF265LKN.bed.gz	ENCFF129FNZ.bigWig
HMBOX1	ENCFF558DSF.bed.gz	ENCFF614EKZ.bigWig
HMGN3	ENCFF002CWT.bed.gz	ENCFF000YON.bigWig
IKZF1	ENCFF886VSU.bed.gz	ENCFF715OCK.bigWig
ILK	ENCFF176NOI.bed.gz	ENCFF192BQU.bigWig
IRF1	ENCFF388AJH.bed.gz	ENCFF992YWK.bigWig
IRF2	ENCFF384YDT.bed.gz	ENCFF319KZQ.bigWig
IRF9	ENCFF196DHR.bed.gz	ENCFF054TAX.bigWig
JUN	ENCFF629BFI.bed.gz	ENCFF780KHA.bigWig
JUNB	ENCFF426DUB.bed.gz	ENCFF511DBK.bigWig
JUND	ENCFF337DKJ.bed.gz	ENCFF709JGL.bigWig
KAT2B	ENCFF185GBT.bed.gz	ENCFF164NLF.bigWig
KAT8	ENCFF772QPO.bed.gz	ENCFF068JOG.bigWig
KDM1A	ENCFF838COI.bed.gz	ENCFF758MEL.bigWig
KDM4B	ENCFF477FYN.bed.gz	ENCFF480PRG.bigWig
KDM5B	ENCFF368TYM.bed.gz	ENCFF293III.bigWig
KLF1	ENCFF717TWA.bed.gz	ENCFF061GJT.bigWig
KLF13	ENCFF802XZN.bed.gz	ENCFF229SYD.bigWig
KLF16	ENCFF844HBQ.bed.gz	ENCFF161TZI.bigWig
L3MBTL2	ENCFF314ULQ.bed.gz	ENCFF890UUN.bigWig
LEF1	ENCFF043YZF.bed.gz	ENCFF772YTJ.bigWig
MAFF	ENCFF308IXJ.bed.gz	ENCFF931BLV.bigWig
MAFG	ENCFF927JBT.bed.gz	ENCFF152GXE.bigWig
MAFK	ENCFF812QPN.bed.gz	ENCFF964KPV.bigWig
MAX	ENCFF422NGZ.bed.gz	ENCFF626PTB.bigWig
MBD2	ENCFF470MLY.bed.gz	ENCFF371KUO.bigWig
MED1	MED1.hg19.peaks.bed.gz	MED1.hg19.bigWig
MEF2A	ENCFF577UJR.bed.gz	ENCFF479KSD.bigWig
MEF2D	ENCFF257RYT.bed.gz	ENCFF311QYP.bigWig
MEIS2	ENCFF613RNG.bed.gz	ENCFF447BCK.bigWig
MGA	ENCFF670ZCR.bed.gz	ENCFF932XMO.bigWig
MIER1	ENCFF365NKO.bed.gz	ENCFF332DMO.bigWig
MITF	ENCFF497XOD.bed.gz	ENCFF935XHX.bigWig
MLLT1	ENCFF197OGH.bed.gz	ENCFF520BTA.bigWig
MNT	ENCFF567GSX.bed.gz	ENCFF757IZU.bigWig
MTA1	ENCFF769GYG.bed.gz	ENCFF194ZGF.bigWig
MTA2	ENCFF662MVX.bed.gz	ENCFF925QKK.bigWig
MTA3	ENCFF350YXB.bed.gz	ENCFF230NBV.bigWig
MXI1	ENCFF970LCB.bed.gz	ENCFF120GUN.bigWig
MYBL2	ENCFF877ANE.bed.gz	ENCFF487KQK.bigWig
MYC	ENCFF465JKF.bed.gz	ENCFF790FHL.bigWig
MYNN	ENCFF583DZD.bed.gz	ENCFF145XHA.bigWig
NCOA1	ENCFF701NVT.bed.gz	ENCFF941LGJ.bigWig
NCOA2	ENCFF914RFS.bed.gz	ENCFF645ZBF.bigWig
NCOA4	ENCFF495CSO.bed.gz	ENCFF452BMC.bigWig
NCOA6	ENCFF322DSX.bed.gz	ENCFF547KCR.bigWig
NCOR1	ENCFF165BCW.bed.gz	ENCFF292YLV.bigWig
NEUROD1	ENCFF581YKY.bed.gz	ENCFF733OEF.bigWig
NFATC3	ENCFF184RRU.bed.gz	ENCFF254BMS.bigWig
NFE2	ENCFF911VSD.bed.gz	ENCFF670JFE.bigWig
NFE2L1	ENCFF175IUO.bed.gz	ENCFF167ABJ.bigWig
NFIC	ENCFF370ENX.bed.gz	ENCFF474SAL.bigWig
NFXL1	ENCFF986MHU.bed.gz	ENCFF906FIL.bigWig
NFYA	ENCFF012VES.bed.gz	ENCFF802NVY.bigWig
NFYB	ENCFF113PMT.bed.gz	ENCFF547XEW.bigWig
NKRF	ENCFF906PGD.bed.gz	ENCFF932XGZ.bigWig
NR0B1	ENCFF954NAJ.bed.gz	ENCFF259JBX.bigWig
NR2C1	ENCFF664ZGR.bed.gz	ENCFF490IPR.bigWig
NR2C2	ENCFF594LCH.bed.gz	ENCFF573HAI.bigWig
NR3C1	ENCFF784FIE.bed.gz	ENCFF720NCF.bigWig
